chinese,pinyin,meaning,translation
画龙点睛,huà lóng diǎn jīng,比喻在作品或事物的关键地方加上点睛之笔，使其更加完美。,A metaphor for adding the finishing touch to the key points of a work or thing to make it more perfect.
塞翁失马,sài wēng shī mǎ,事情的发展看似不利，实际上可能是好事。,"Things may seem unfavorable, but in fact they may be a good thing."
夜郎自大,yè láng zì dà,形容人自以为了不起而实际上无知愚昧。,Describes people who think they are not willing to afford to do so but are actually ignorant and ignorant.
九牛二虎之力,jiǔ niú èr hǔ zhī lì,形容力量极大。,Describes great power.
一毛不拔,yī máo bù bá,形容非常吝啬，连一根毛都不肯多给。,It describes it as being very stingy and not even willing to give more hair.
求仁得仁,qiú rén dé rén,用什么样的方式对待别人，就会以同样的方式对待自己。,The way you treat others will treat yourself the same way.
铁杵成针,tiě chǔ chéng zhēn,比喻只要有毅力，就能把困难的事情做成。,It is a metaphor for having perseverance to accomplish difficult things.
纸上谈兵,zhǐ shàng tán bīng,比喻只在纸面上谈论兵事，没有实际经验。,It is a metaphor for only talking about military affairs on paper and having no practical experience.
入乡随俗,rù xiāng suí sú,到了别的地方，要遵照当地的风俗习惯。,"When you go to other places, you must follow local customs."
掩耳盗铃,yǎn ěr dào líng,自己愚蠢行为的比喻。,A metaphor for one's own stupid behavior.
一举两得,yī jǔ liǎng dé,一次举动达到两个目的。,One action achieves two goals.
杯弓蛇影,bēi gōng shé yǐng,比喻因为害怕而产生的错觉。,A metaphor for the illusion arising from fear.
画蛇添足,huà shé tiān zú,比喻做某事过多，反而不好。,"It is a metaphor for doing too much, which is not good."
自相矛盾,zì xiāng máo dùn,说话或做事前后矛盾。,Inconsistent in speaking or doing things.
刻舟求剑,kè zhōu qiú jiàn,比喻对问题的根源或实质性解决办法没有正确的认识。,It is a metaphor for not having a correct understanding of the root cause or substantive solution of the problem.
对牛弹琴,duì niú tán qín,跟不懂的人讲道理，也白费工夫。,It will be useless to reason with people who don’t understand.
守株待兔,shǒu zhū dài tù,比喻贪图不劳而获。,A metaphor for greed for gain without effort.
虎头蛇尾,hǔ tóu shé wěi,开始时很有气势，但最后不了了之。,"It was very imposing at the beginning, but it ended up in nothing."
杞人忧天,qǐ rén yōu tiān,指人想入非非，胡思乱想，却担心不切实际的事情。,"It refers to people who are imaginative, random, but worry about unrealistic things."
坐井观天,zuò jǐng guān tiān,形容见识狭窄，不能认识事物的全面。,Describes a narrow understanding and inability to understand the comprehensiveness of things.
心有灵犀一点通,xīn yǒu líng xī yī diǎn tōng,心灵相通，互相了解，不需要言语交流。,"The mind is connected, the mutual understanding is not necessary, and there is no need for verbal communication."
路遥知马力，日久见人心,"lù yáo zhī mǎ lì, rì jiǔ jiàn rén xīn",长期相处才能了解一个人的真实面目。,Only by spending a long time can one understand a person’s true face.
两全其美,liǎng quán qí měi,两个目标都能实现，不用做出任何取舍。,Both goals can be achieved without making any trade-offs.
打草惊蛇,dǎ cǎo jīng shé,做事情时不谨慎，反而把事情暴露给对方。,"If you are not cautious when doing things, you will expose the matter to the other party."
东施效颦,dōng shī xiào pín,用自己的能力干不了的事情，硬要去模仿别人。,"If you can't do things with your own abilities, you have to imitate others."
言简意赅,yán jiǎn yì gāi,说话或写文章简洁明了，没有多余的话。,"Speak or write articles concisely and clearly, without any extra words."
悬崖勒马,xuán yá lè mǎ,比喻在事情严重到无法挽回之前采取果断的措施加以制止。,It is a metaphor for taking decisive measures to stop the matter before it is so serious that it cannot be restored.
乐极生悲,lè jí shēng bēi,过度的欢乐常常会引起不幸或伤心。,Excessive joy often leads to misfortune or sadness.
多此一举,duō cǐ yī jǔ,做某事没有必要，只会增加麻烦。,"Doing something is not necessary, it only adds trouble."
抛砖引玉,pāo zhuān yǐn yù,发表自己的意见，引起别人的共鸣，从而使他们发表更好的意见。,"Make your own opinions resonate with others, so that they can make them better opinions."
百年树人,bǎi nián shù rén,培养后代的人才，是为了将来社会的发展和进步。,Cultivating talents from future generations is for the development and progress of society in the future.
事半功倍,shì bàn gōng bèi,动作简单，而效果非常好。,"The action is simple, and the effect is very good."
束手无策,shù shǒu wú cè,形容对事情无计可施，无法解决。,Describes that you have no choice but to solve the problem.
貌似天仙，实则蝼蚁,"mào sì tiān xiān, shí zé lú yǐ",外表看起来很美，实际上毫无价值。,It looks beautiful but is actually worthless.
亡羊补牢,wáng yáng bǔ láo,失去的羊已经找回，还要修补牢笼。,The lost sheep have been retrieved and the cage needs to be repaired.
安居乐业,ān jū lè yè,平静而满足地生活和工作。,Live and work calmly and contentedly.
鞠躬尽瘁，死而后已,"jū gōng jìn cuì, sǐ ér hòu yǐ",尽全力工作，直到生命的最后一刻。,Work hard until the last moment of your life.
碧血丹心,bì xuè dān xīn,指对国家或事业忠诚不渝的精神。,Refers to the spirit of unswerving loyalty to the country or cause.
画饼充饥,huà bǐng chōng jī,比喻用空想或不切实际的事情来安慰自己。,It is a metaphor for comforting yourself with fantasy or unrealistic things.
白驹过隙,bái jū guò xī,时间过得非常快。,Time flies very quickly.
海底捞针,hǎi dǐ lāo zhēn,比喻十分困难的事。,A metaphor for something very difficult.
骑虎难下,qí hǔ nán xià,比喻事情已到了进退两难的地步。,It is a metaphor for the fact that things have reached a dilemma.
狐假虎威,hú jiǎ hǔ wēi,借助别人的势力欺压他人。,Use other people's power to oppress others.
画地为牢,huà dì wéi láo,比喻自己划定界限，限制自己的活动范围。,It is a metaphor for demarcating boundaries and limiting your own range of activities.
授人以鱼不如授人以渔,shòu rén yǐ yú bù rú shòu rén yǐ yú,比起直接给予帮助，教会别人如何做事更加有价值。,Teaching others how to do things is more valuable than giving help directly.
无源之水，无本之木,"wú yuán zhī shuǐ, wú běn zhī mù",比喻没有根基或根据。,A metaphor has no foundation or basis.
