chinese,pinyin,meaning
画龙点睛,huà lóng diǎn jīng,比喻在作品或事物的关键地方加上点睛之笔，使其更加完美。
塞翁失马,sài wēng shī mǎ,事情的发展看似不利，实际上可能是好事。
夜郎自大,yè láng zì dà,形容人自以为了不起而实际上无知愚昧。
九牛二虎之力,jiǔ niú èr hǔ zhī lì,形容力量极大。
一毛不拔,yī máo bù bá,形容非常吝啬，连一根毛都不肯多给。
求仁得仁,qiú rén dé rén,用什么样的方式对待别人，就会以同样的方式对待自己。
铁杵成针,tiě chǔ chéng zhēn,比喻只要有毅力，就能把困难的事情做成。
纸上谈兵,zhǐ shàng tán bīng,比喻只在纸面上谈论兵事，没有实际经验。
入乡随俗,rù xiāng suí sú,到了别的地方，要遵照当地的风俗习惯。
掩耳盗铃,yǎn ěr dào líng,自己愚蠢行为的比喻。
一举两得,yī jǔ liǎng dé,一次举动达到两个目的。
杯弓蛇影,bēi gōng shé yǐng,比喻因为害怕而产生的错觉。
画蛇添足,huà shé tiān zú,比喻做某事过多，反而不好。
自相矛盾,zì xiāng máo dùn,说话或做事前后矛盾。
刻舟求剑,kè zhōu qiú jiàn,比喻对问题的根源或实质性解决办法没有正确的认识。
对牛弹琴,duì niú tán qín,跟不懂的人讲道理，也白费工夫。
守株待兔,shǒu zhū dài tù,比喻贪图不劳而获。
虎头蛇尾,hǔ tóu shé wěi,开始时很有气势，但最后不了了之。
杞人忧天,qǐ rén yōu tiān,指人想入非非，胡思乱想，却担心不切实际的事情。
坐井观天,zuò jǐng guān tiān,形容见识狭窄，不能认识事物的全面。
心有灵犀一点通,xīn yǒu líng xī yī diǎn tōng,心灵相通，互相了解，不需要言语交流。
路遥知马力，日久见人心,"lù yáo zhī mǎ lì, rì jiǔ jiàn rén xīn",长期相处才能了解一个人的真实面目。
两全其美,liǎng quán qí měi,两个目标都能实现，不用做出任何取舍。
打草惊蛇,dǎ cǎo jīng shé,做事情时不谨慎，反而把事情暴露给对方。
东施效颦,dōng shī xiào pín,用自己的能力干不了的事情，硬要去模仿别人。
言简意赅,yán jiǎn yì gāi,说话或写文章简洁明了，没有多余的话。
悬崖勒马,xuán yá lè mǎ,比喻在事情严重到无法挽回之前采取果断的措施加以制止。
乐极生悲,lè jí shēng bēi,过度的欢乐常常会引起不幸或伤心。
多此一举,duō cǐ yī jǔ,做某事没有必要，只会增加麻烦。
抛砖引玉,pāo zhuān yǐn yù,发表自己的意见，引起别人的共鸣，从而使他们发表更好的意见。
百年树人,bǎi nián shù rén,培养后代的人才，是为了将来社会的发展和进步。
事半功倍,shì bàn gōng bèi,动作简单，而效果非常好。
束手无策,shù shǒu wú cè,形容对事情无计可施，无法解决。
貌似天仙，实则蝼蚁,"mào sì tiān xiān, shí zé lú yǐ",外表看起来很美，实际上毫无价值。
亡羊补牢,wáng yáng bǔ láo,失去的羊已经找回，还要修补牢笼。
安居乐业,ān jū lè yè,平静而满足地生活和工作。
鞠躬尽瘁，死而后已,"jū gōng jìn cuì, sǐ ér hòu yǐ",尽全力工作，直到生命的最后一刻。
碧血丹心,bì xuè dān xīn,指对国家或事业忠诚不渝的精神。
画饼充饥,huà bǐng chōng jī,比喻用空想或不切实际的事情来安慰自己。
白驹过隙,bái jū guò xī,时间过得非常快。
海底捞针,hǎi dǐ lāo zhēn,比喻十分困难的事。
骑虎难下,qí hǔ nán xià,比喻事情已到了进退两难的地步。
狐假虎威,hú jiǎ hǔ wēi,借助别人的势力欺压他人。
画地为牢,huà dì wéi láo,比喻自己划定界限，限制自己的活动范围。
